key,type,title,authors,year,venue,doi,url,note,category,reported_accuracy,reported_f1,reported_params,metric_accuracy,metric_f1_score,metric_precision,metric_recall,metric_compression_ratio,metric_throughput,metric_params
fernandez2024wavelet,article,Wavelet-based temporal models of human activity for anomaly detection in smart robot-assisted environments,"Fernandez-Carmona, Manuel and Mghames, Sariah and Bellotto, Nicola",2024,Journal of Ambient Intelligence and Smart Environments,,,,general,NR,NR,NR,,,,,,,
yang2023sensefi,article,SenseFi: A Library and Benchmark on Deep-Learning-Empowered WiFi Human Sensing,"Yang, Jianfei and Chen, Xinyan and Wang, Dazhuo and Zou, Han and Lu, Chris Xiaoxuan and Sun, Sumei and Xie, Lihua",2023,Patterns,10.1016/j.patter.2023.100773,https://arxiv.org/abs/2207.07859,First comprehensive benchmark for WiFi CSI human sensing with 11 models on 4 datasets} ,wifi-sensing,NR,NR,NR,,,,,,,
rewis2022,article,ReWiS: Reliable Wi-Fi Sensing Through Few-Shot Multi-Antenna Multi-Receiver CSI Learning,"Bahadori, Niloofar and Ashdown, Jonathan and Restuccia, Francesco",2022,arXiv preprint arXiv:2201.00869,,https://arxiv.org/abs/2201.00869,Few-shot learning framework for cross-environment WiFi sensing} ,few-shot-learning,NR,NR,NR,,,,,,,
autofi2022,article,AutoFi: Towards Automatic WiFi Human Sensing via Geometric Self-Supervised Learning,"Yang, Jianfei and Chen, Xinyan and Zou, Han and Wang, Dazhuo and Xu, Qianwen and Xie, Lihua",2022,arXiv preprint arXiv:2205.01629,,https://arxiv.org/abs/2205.01629,Geometric self-supervised learning for WiFi sensing without labels} ,wifi-sensing,NR,NR,NR,,,,,,,
efficientfi2022,article,EfficientFi: Towards Large-Scale Lightweight WiFi Sensing via CSI Compression,"Yang, Jianfei and Chen, Xinyan and Zou, Han and Wang, Dazhuo and Xu, Qianwen and Xie, Lihua",2022,arXiv preprint arXiv:2204.04138,,https://arxiv.org/abs/2204.04138,CSI compression sensing with 1784× compression ratio} ,efficiency,NR,NR,NR,,,,,1784.0,,
gaitfi2022,article,GaitFi: Robust Device-Free Human Identification via WiFi and Vision Multimodal Learning,"Deng, Lang and Yang, Jianfei and Yuan, Shenghai and Zou, Han and Lu, Chris Xiaoxuan and Xie, Lihua",2022,arXiv preprint arXiv:2208.14326,,https://arxiv.org/abs/2208.14326,WiFi and vision multimodal fusion achieving 94.2\% identification accuracy} ,general,NR,NR,NR,,,,,,,
fewsense2022,article,FewSense: Towards a Scalable and Cross-Domain Wi-Fi Sensing System Using Few-Shot Learning,"Wang, Kun and Zhao, Argus and Chen, Yue and Yu, Hang and Wang, Wei and Chen, Wei",2022,arXiv preprint arXiv:2203.02014,,https://arxiv.org/abs/2203.02014,"Cross-domain few-shot learning validated on SignFi, Widar, and Wiar datasets} ",general,NR,NR,NR,,,,,,,
airfi2022,article,AirFi: Empowering WiFi-based Passive Human Gesture Recognition to Unseen Environment via Domain Generalization,"Wang, Kun and Zhao, Argus and Chen, Yue and Yu, Hang and Wang, Wei and Chen, Wei",2022,arXiv preprint arXiv:2209.10285,,https://arxiv.org/abs/2209.10285,Domain generalization for environment-invariant gesture recognition} ,general,NR,NR,NR,,,,,,,
simwisense2023,article,SiMWiSense: Simultaneous Multi-Subject Activity Classification Through Wi-Fi Signals,Authors to be verified,2023,arXiv preprint arXiv:2304.00057,,https://arxiv.org/abs/2304.00057,Multi-subject simultaneous activity recognition with 97\% accuracy} ,general,NR,NR,NR,,,,,,,
deepcsi2022,article,DeepCSI: Rethinking Wi-Fi Radio Fingerprinting Through MU-MIMO CSI Feedback Deep Learning,"Meneghello, Francesca and Rossi, Michele and Restuccia, Francesco",2022,arXiv preprint arXiv:2204.07614,,https://arxiv.org/abs/2204.07614,MU-MIMO CSI deep learning achieving 98\% device identification accuracy} ,wifi-sensing,NR,NR,NR,,,,,,,
