Protocol,Parameter,Value
Synthetic Robustness,Models,4
Synthetic Robustness,Seeds,5
Synthetic Robustness,Noise_Levels,3
Synthetic Robustness,Overlap_Conditions,3
Synthetic Robustness,Difficulty_Levels,3
Synthetic Robustness,Time_Steps,3
Synthetic Robustness,Feature_Dims,3
Synthetic Robustness,Burst_Rates,3
Synthetic Robustness,Total_Configs,540
CDAE,Models,4
CDAE,Protocols,2
CDAE,Seeds,5
CDAE,Subjects,Multiple
CDAE,Rooms,Multiple
CDAE,Cross_Validation,5-fold
CDAE,Statistical_Tests,p-values
CDAE,Total_Configs,40
STEA,Transfer_Methods,4
STEA,Label_Ratios,7
STEA,Seeds,5
STEA,Baselines,Zero-shot
STEA,Metrics,F1/ECE/Brier
STEA,Efficiency_Phases,3
STEA,Total_Configs,56
