Method,Parameters (K),Memory (MB),Inference Time (ms),Throughput (sps),Accuracy (%),Platform,Real-time Ready,Reference
SenseFi Benchmark Average,850,3.2,45.0,22.0,78.5,Various Devices,No,yang2023sensefi
Attention-Enhanced IoT,1200,4.6,120.0,8.0,81.2,Raspberry Pi 4,No,zhang2023attention
Cross-Domain WiFi HAR,950,3.6,80.0,13.0,76.8,Generic Edge Device,No,li2024cross
Privacy-Preserving WiFi,750,2.9,65.0,15.0,79.3,IoT Gateway,No,wang2023privacy
PASE-Net (CPU),640,2.4441261291503906,338.90859110006204,2.950648128317149,83.0,Xavier AGX 32G (CPU),No,This Work
PASE-Net (GPU),640,2.4441261291503906,5.285800260171527,189.18611199424123,83.0,Xavier AGX 32G (GPU),Yes,This Work
CNN (CPU),644,2.457489013671875,7.13078825001503,140.23695066220657,83.0,Xavier AGX 32G (CPU),Yes,This Work
CNN (GPU),644,2.457489013671875,0.8986772398566245,1112.746551987386,83.0,Xavier AGX 32G (GPU),Yes,This Work
BiLSTM (CPU),583,2.226593017578125,75.4571985498842,13.252546068734679,83.0,Xavier AGX 32G (CPU),No,This Work
BiLSTM (GPU),583,2.226593017578125,8.967561759891396,111.51303183353942,83.0,Xavier AGX 32G (GPU),Yes,This Work
